RACE_NUMBER,DISTANCE,TIME,PARTIAL,PACE,NAME,GENDER,OFFICIAL_POSITION,POSITION_GROUPING,PACE_DATETIME,TIME_DATETIME,PARTIAL_DATETIME
389,20K,1:08:49,0:17:12,"3,26","HOTTENROTT, LAURA",F,15,Other,2023-12-03T00:03:26,2023-12-03T01:08:49,2023-12-03T00:17:12
389,Half,1:12:41,0:03:51,"3,31","HOTTENROTT, LAURA",F,15,Other,2023-12-03T00:03:31,2023-12-03T01:12:41,2023-12-03T00:03:51
389,25K,1:26:12,0:17:23,"3,29","HOTTENROTT, LAURA",F,15,Other,2023-12-03T00:03:29,2023-12-03T01:26:12,2023-12-03T00:17:23
389,30K,1:43:20,0:17:07,"3,25","HOTTENROTT, LAURA",F,15,Other,2023-12-03T00:03:25,2023-12-03T01:43:20,2023-12-03T00:17:07
389,35K,2:00:28,0:17:08,"3,26","HOTTENROTT, LAURA",F,15,Other,2023-12-03T00:03:26,2023-12-03T02:00:28,2023-12-03T00:17:08
389,40K,2:17:15,0:16:47,"3,21","HOTTENROTT, LAURA",F,15,Other,2023-12-03T00:03:21,2023-12-03T02:17:15,2023-12-03T00:16:47
389,META,2:24:30,0:07:15,"3,18","HOTTENROTT, LAURA",F,15,Other,2023-12-03T00:03:18,2023-12-03T02:24:30,2023-12-03T00:07:15
267,5K,0:17:08,0:17:08,"0,00","RICHARDSSON, CAMILLA",F,16,Other,2023-12-03T00:00:00,2023-12-03T00:17:08,2023-12-03T00:17:08
267,10K,0:34:19,0:17:10,"3,26","RICHARDSSON, CAMILLA",F,16,Other,2023-12-03T00:03:26,2023-12-03T00:34:19,2023-12-03T00:17:10
267,15K,0:51:29,0:17:10,"3,26","RICHARDSSON, CAMILLA",F,16,Other,2023-12-03T00:03:26,2023-12-03T00:51:29,2023-12-03T00:17:10
267,20K,1:08:36,0:17:07,"3,25","RICHARDSSON, CAMILLA",F,16,Other,2023-12-03T00:03:25,2023-12-03T01:08:36,2023-12-03T00:17:07
267,Half,1:12:21,0:03:45,"3,25","RICHARDSSON, CAMILLA",F,16,Other,2023-12-03T00:03:25,2023-12-03T01:12:21,2023-12-03T00:03:45
267,25K,1:25:45,0:17:09,"3,26","RICHARDSSON, CAMILLA",F,16,Other,2023-12-03T00:03:26,2023-12-03T01:25:45,2023-12-03T00:17:09
267,30K,1:43:01,0:17:16,"3,27","RICHARDSSON, CAMILLA",F,16,Other,2023-12-03T00:03:27,2023-12-03T01:43:01,2023-12-03T00:17:16
267,35K,2:00:13,0:17:12,"3,26","RICHARDSSON, CAMILLA",F,16,Other,2023-12-03T00:03:26,2023-12-03T02:00:13,2023-12-03T00:17:12
267,40K,2:17:15,0:17:02,"3,24","RICHARDSSON, CAMILLA",F,16,Other,2023-12-03T00:03:24,2023-12-03T02:17:15,2023-12-03T00:17:02
267,META,2:24:36,0:07:21,"3,21","RICHARDSSON, CAMILLA",F,16,Other,2023-12-03T00:03:21,2023-12-03T02:24:36,2023-12-03T00:07:21
235,5K,0:17:00,0:17:00,"0,00","WOLDU, MEKDES",F,17,Other,2023-12-03T00:00:00,2023-12-03T00:17:00,2023-12-03T00:17:00
235,10K,0:33:57,0:16:58,"3,24","WOLDU, MEKDES",F,17,Other,2023-12-03T00:03:24,2023-12-03T00:33:57,2023-12-03T00:16:58
