OFFICIAL POS.,RACE NUMBER,NAME,OFFICIAL TIME,REAL TIME,REAL AVERAGE,CATEGORY
68,121,"LOPES, MAXIME",2:15:20,2:15:16,"3,12",M-SENIOR
69,104,"NASH, DAN",2:15:22,2:15:19,"3,12",M-SENIOR
70,156,"LE BIHAN, KRILAN",2:15:30,2:15:28,"3,13",M-SENIOR
71,137,"LEDUC, CLÉMENT",2:15:38,2:15:36,"3,13",M-SENIOR
72,97,"ITO CURO, NELSON",2:15:41,2:15:37,"3,13",M-SENIOR
73,493,"YOHAN, ZARADZKI",2:15:43,2:15:41,"3,13",M-SENIOR
74,142,"NAVARRO, JULIEN",2:15:45,2:15:43,"3,13",M-M35
75,179,"GOMEZ, JOSEP",2:15:50,2:15:48,"3,13",M-SENIOR
76,357,"KEMBOI, TITUS",2:15:57,2:15:56,"3,13",M-SENIOR
77,355,"GIMENEZ, JOSE IGNACIO",2:16:19,2:16:17,"3,14",M-SENIOR
78,168,"PERRY, CHRIS",2:16:28,2:16:26,"3,14",M-SENIOR
79,590,"HICHAM, BENGHERDA",2:16:30,2:16:28,"3,14",M-M40
80,96,"NORONHA, VAGNER DA SILVA NORONHA",2:16:30,2:16:27,"3,14",M-M35
81,830,"BROWN, T-ROY RYAN",2:16:37,2:16:31,"3,14",M-SENIOR
82,139,"WILLEBOORDSE, FLORIS",2:16:40,2:16:39,"3,14",M-SENIOR
83,512,"ROZALSKI, ANTHONY",2:16:51,2:16:46,"3,14",M-SENIOR
84,160,"VALENTE, JOÃO",2:16:57,2:16:55,"3,15",M-SENIOR
85,146,"OLSEN, MARK",2:16:58,2:16:56,"3,15",M-SENIOR
86,165,"ALLALI, NASSER",2:17:06,2:17:05,"3,15",M-SENIOR
87,106,"FILIP, VERCRUYSSE",2:17:07,2:17:05,"3,15",M-M40
88,556,"BISHOP, DAVID",2:17:11,2:17:06,"3,15",M-SENIOR
89,124,"DE FREITAS, JEFFREY",2:17:16,2:17:13,"3,15",M-SENIOR
90,418,"MUSSON, DOUGLAS",2:17:21,2:17:15,"3,15",M-SENIOR
91,379,"FERNANDES, JOÃO",2:17:21,2:17:18,"3,15",M-SENIOR
92,445,"RAZYN , ABDELALI",2:17:23,2:17:20,"3,15",M-SENIOR
93,173,"HALL, JASON",2:17:31,2:17:28,"3,15",M-SENIOR
94,161,"BÖRJESSON, JOHN",2:17:32,2:17:29,"3,15",M-SENIOR
95,132,"HINDRIKS, MAARTEN",2:17:33,2:17:31,"3,16",M-SENIOR
96,17284,"BENGRIBA, MAAMAR",2:17:34,2:17:30,"3,15",M-M35
97,83,"KOBE, PRIMOZ",2:17:37,2:17:35,"3,16",M-M40
98,709,"HAMZA, EL OUARDI",2:17:41,2:17:38,"3,16",M-SENIOR
99,410,"MOUSSAOUI, MOHAMED",2:17:43,2:17:39,"3,16",M-SENIOR
100,404,"STIJN, BAETEN",2:17:44,2:17:40,"3,16",M-SENIOR
101,384,"VAZQUEZ VEGA, LUIS FERNANDO",2:17:58,2:17:56,"3,16",M-SENIOR
102,626,"ALEXIS, HUCK",2:18:07,2:18:05,"3,16",M-SENIOR
103,141,"WITEK, ANDRZEJ",2:18:09,2:18:06,"3,16",M-SENIOR
104,131,"TOMSICH, ANTHONY",2:18:10,2:18:06,"3,16",M-M35
105,98,"CHANG, CHIACHE",2:18:12,2:18:09,"3,16",M-M40
106,159,"DALMASSO, NICOLAS",2:18:12,2:18:10,"3,16",M-M35
107,782,"PRÉTOT, CHARLIE",2:18:13,2:18:09,"3,16",M-SENIOR
108,170,"ESTEVEZ LOPEZ, REYES",2:18:17,2:18:15,"3,17",M-M45
109,1235,"VALENTIN, BETOUDJI",2:18:20,2:18:16,"3,17",M-SENIOR
110,691,"JONES, DOMINIC",2:18:22,2:18:15,"3,17",M-SENIOR
111,21234,"INECI, ABDURRAHMAN",2:18:31,2:18:08,"3,16",M-M40
112,602,"DOURLENS, JUSTIN",2:18:34,2:18:28,"3,17",M-SENIOR
113,480,"MEDALL JUAN, JAVIER",2:18:48,2:18:45,"3,17",M-M35
114,157,"OLIVERAS, NAN",2:18:48,2:18:47,"3,17",M-SENIOR
115,558,"THOMSON, RYAN",2:18:50,2:18:46,"3,17",M-SENIOR
116,127,"MARCHAL, DORIAN",2:18:53,2:18:51,"3,17",M-SENIOR
117,572,"HOTTEBART, HUGO",2:19:01,2:18:57,"3,18",M-SENIOR
118,542,"RODDY, PATRICK",2:19:04,2:19:00,"3,18",M-SENIOR
119,409,"GRANBERG, HANNU",2:19:15,2:19:10,"3,18",M-SENIOR
120,428,"PYSZEL, FLORIAN",2:19:21,2:19:18,"3,18",M-SENIOR
121,163,"ATSE HERRERA, JONATHAN",2:19:21,2:19:18,"3,18",M-M35
122,2295,"CABRERA FERNÁNDEZ, IGNACIO",2:19:23,2:19:18,"3,18",M-SENIOR
123,105,"TOUCAS, ADRIEN",2:19:36,2:19:34,"3,18",M-SENIOR
124,126,"TURI, MARCO",2:19:36,2:19:34,"3,18",M-M35
125,778,"KOPOCZ, MATHIEU",2:19:45,2:19:42,"3,19",M-M35
126,735,"ZARCO ALVAREZ, IVAN",2:19:46,2:19:40,"3,19",M-M35
127,463,"SMITH, LOGAN",2:19:46,2:19:41,"3,19",M-SENIOR
128,635,"TURNER, JAMES",2:19:56,2:19:52,"3,19",M-SENIOR
129,380,"CAMERON, EWAN",2:19:57,2:19:54,"3,19",M-M40
130,854,"DIAZ CARRETERO, JOSEP",2:20:09,2:20:05,"3,19",M-SENIOR
131,663,"DURAND, JONATHAN",2:20:10,2:20:01,"3,19",M-SENIOR
132,873,"HAVLENA, YANN",2:20:12,2:20:05,"3,19",M-SENIOR
133,770,"DAWSON, NICK",2:20:16,2:20:12,"3,19",M-SENIOR
134,517,"NIEDERHAUSER, THIBAULT",2:20:19,2:20:12,"3,19",M-SENIOR
135,690,"HUGO, BOUDOT",2:20:20,2:20:18,"3,19",M-SENIOR
136,744,"ALDRIDGE, LIAM",2:20:23,2:20:19,"3,20",M-M35
137,151,"GI, KA MAN",2:20:25,2:20:22,"3,20",M-M35
138,695,"GLADLEY, ALEX",2:20:26,2:20:22,"3,20",M-SENIOR
139,491,"HAYMES, DANIEL",2:20:27,2:20:22,"3,20",M-SENIOR
140,11861,"EL FADIL, SAÏD",2:20:30,2:20:25,"3,20",M-M45
141,616,"SELMAN, DOUGLAS",2:20:32,2:20:27,"3,20",M-M35
142,678,"ADRIEN, NOEL",2:20:41,2:20:37,"3,20",M-SENIOR
143,350,"GAREDEW, ABEBE",2:20:46,2:20:45,"3,20",M-SENIOR
144,733,"LATRECHE, FOUAD",2:20:46,2:20:43,"3,20",M-SENIOR
145,461,"STAJNIAK, BARTLOMIEJ",2:20:47,2:20:43,"3,20",M-SENIOR
146,1582,"RIVET, AURÉLIEN",2:20:47,2:20:44,"3,20",M-SENIOR
147,647,"CARON, JEAN-RENE",2:20:54,2:20:49,"3,20",M-SENIOR
148,713,"DAUTEL, ALEX",2:20:56,2:20:52,"3,20",M-M35
149,840,"VILLY, RONALD",2:20:58,2:20:52,"3,20",M-SENIOR
150,114,"FLÜCKIGER, ARMIN",2:21:01,2:20:59,"3,20",M-SENIOR
151,426,"KRAUTH, JOACHIM",2:21:05,2:20:57,"3,20",M-SENIOR
152,787,"PLAY, JEAN-CHRISTOPHE",2:21:13,2:21:13,"3,21",M-M40
153,486,"OWEN, RHODRI",2:21:28,2:21:23,"3,21",M-SENIOR
154,795,"FONTANAROSA, PIERRE",2:21:29,2:21:17,"3,21",M-SENIOR
155,584,"BERSET, PASCAL",2:21:33,2:21:30,"3,21",M-M35
156,458,"MORWOOD, JOE",2:21:47,2:21:37,"3,21",M-SENIOR
157,749,"HERNÁNDEZ MEDINA, JORGE ALBERTO",2:22:04,2:22:00,"3,22",M-SENIOR
158,194,"PONT CHAFER, FELIX",2:22:05,2:22:03,"3,22",M-M40
159,186,"VIDAL RIBERO, JUAN",2:22:17,2:22:14,"3,22",M-M40
160,135,"GILLES, RUBIO",2:22:22,2:22:19,"3,22",M-M40
161,760,"ALQUIER, BENJAMIN",2:22:25,2:22:18,"3,22",M-SENIOR
162,800,"LOZANO, MICHAEL",2:22:26,2:22:21,"3,22",M-M40
163,630,"HOLM, HENRIK",2:22:27,2:22:17,"3,22",M-SENIOR
164,562,"CHONG, SEE YEUNG",2:22:32,2:22:28,"3,23",M-SENIOR
165,718,"FUENTES ISASI, GONZALO",2:22:33,2:22:28,"3,23",M-SENIOR
166,798,"LEROUX, MATHIEU",2:22:35,2:22:29,"3,23",M-SENIOR
167,149,"LE VIGOUROUX, FLORIAN",2:22:39,2:22:36,"3,23",M-SENIOR
168,659,"HILEY, JONATHAN",2:22:39,2:22:33,"3,23",M-M35
169,430,"FIKRE, WONDIYE",2:22:39,2:22:31,"3,23",M-M35
170,746,"CARETTE, ROMAIN",2:22:43,2:22:37,"3,23",M-SENIOR
171,452,"BAYTON, STEVEN",2:22:45,2:22:42,"3,23",M-SENIOR
172,914,"TELLO FERNANDEZ, VICTOR",2:22:45,2:22:38,"3,23",M-M40
173,911,"PIPER, PAUL",2:22:51,2:22:45,"3,23",M-M40
174,881,"PALOMO DEL ROSARIO, DAVID",2:22:53,2:22:48,"3,23",M-M40
175,44,"HOFBAUER, TREVOR",2:22:55,2:22:53,"3,23",M-SENIOR
176,902,"GOMEZ FERRERO, MARCOS",2:22:57,2:22:52,"3,23",M-M40
177,780,"CERVERO ORFILA, ALEX",2:23:00,2:22:53,"3,23",M-M35
178,745,"OOSTERLINCK, WARD",2:23:00,2:22:51,"3,23",M-SENIOR
179,417,"VOGEL, FLORIAN",2:23:03,2:22:58,"3,23",M-M40
180,774,"OIARBIDE ORMAZABAL, ALEXANDER",2:23:05,2:22:59,"3,23",M-SENIOR
181,523,"TROITE, KIM-ROGER",2:23:06,2:23:01,"3,23",M-SENIOR
182,462,"AVALLE, STEFANO",2:23:15,2:23:10,"3,24",M-SENIOR
183,169,"PILLEUX, ADRIEN",2:23:16,2:23:14,"3,24",M-SENIOR
184,472,"MCCAMBRIDGE, CONAL",2:23:16,2:23:09,"3,24",M-SENIOR
185,738,"GUILLAUME, TIPHENE",2:23:17,2:23:13,"3,24",M-SENIOR
186,651,"ANÉ, JEAN-PIERRE",2:23:17,2:23:12,"3,24",M-M40
187,352,"JIMENEZ, ALEJANDRO",2:23:17,2:23:16,"3,24",M-M35
188,739,"DONNAY OTEGUI, ENDIKA",2:23:18,2:23:11,"3,24",M-M35
189,686,"CARMONA PARADA, FRANCESC",2:23:19,2:23:09,"3,24",M-M35
190,605,"ROUSSEAU, LUDOVIC",2:23:24,2:23:17,"3,24",M-M35
191,688,"IMBERT, THIBAUT",2:23:27,2:23:20,"3,24",M-SENIOR
192,415,"BOUTOIL, AZIZ",2:23:28,2:23:27,"3,24",M-M35
193,727,"MARTIN, LAURENT",2:23:29,2:23:27,"3,24",M-SENIOR
194,754,"MANI, ALEXANDRE",2:23:31,2:23:24,"3,24",M-SENIOR
195,668,"BENTLEY, RUSSELL",2:23:31,2:23:27,"3,24",M-M40
196,497,"BRUCHHAUSEN, CHRISTOPHER",2:23:34,2:23:30,"3,24",M-SENIOR
197,455,"TREJO ALEMAN, ROBERTO CARLOS",2:23:35,2:23:26,"3,24",M-M40
198,568,"HENNION, ALEXANDRE",2:23:37,2:23:33,"3,24",M-SENIOR
199,1782,"BAZEILLE, SÉBASTIEN",2:23:37,2:23:34,"3,24",M-M40
200,2494,"ALTAN, UGUR",2:23:39,2:23:31,"3,24",M-SENIOR
201,535,"AMIN, BOUKEBAL",2:23:42,2:23:37,"3,24",M-SENIOR
202,703,"DE BART, SANDER",2:23:43,2:23:39,"3,24",M-M35
203,704,"ZALEJSKI, NICOLAS",2:23:44,2:23:37,"3,24",M-SENIOR
204,683,"FENOT, NICOLAS",2:23:46,2:23:41,"3,24",M-SENIOR
205,799,"GOUTILLE, ROMAIN",2:23:47,2:23:43,"3,24",M-M35
206,710,"HIRVIKALLIO, JONI",2:23:48,2:23:44,"3,24",M-SENIOR
207,792,"CARON, PIERRE",2:23:48,2:23:40,"3,24",M-SENIOR
208,510,"KARLSSON, SIMON",2:23:49,2:23:46,"3,24",M-SENIOR
209,10888,"VINOGRADOV, EGOR",2:23:52,2:23:47,"3,24",M-M40
210,500,"PLANAS CRIADO, XAVIER",2:23:53,2:23:48,"3,24",M-M40
211,645,"LUNDEGÅRD, ANDREAS",2:23:53,2:23:48,"3,24",M-M35
212,158,"CHENAIS, JOAN",2:23:59,2:23:56,"3,25",M-SENIOR
213,790,"BRAM, EECKHOUT",2:24:01,2:23:50,"3,25",M-SENIOR
214,188,"PALOMERA SVENSSON, SAMUEL",2:24:02,2:24:00,"3,25",M-SENIOR
215,680,"EECKHOUT, SIMON",2:24:11,2:24:01,"3,25",M-UNDER23
216,431,"TISHAKIN, ANTON",2:24:12,2:24:09,"3,25",M-M35
217,8037,"BRUN, ROMUALD",2:24:14,2:24:06,"3,25",M-M40
218,890,"NIETO PEÑA, CARLOS",2:24:15,2:24:11,"3,25",M-M35
219,716,"BURUCS, FERENC",2:24:15,2:24:13,"3,25",M-M35
220,736,"ADRIEN, JAMET",2:24:18,2:24:11,"3,25",M-SENIOR
221,855,"ERIC, HERAULT",2:24:18,2:24:15,"3,25",M-M45
222,508,"BURGOS JIMENEZ, MANUEL JESUS",2:24:19,2:24:19,"3,25",M-M45
223,443,"HORTELANO RUBIO, MARCOS",2:24:21,2:24:09,"3,25",M-M35
224,515,"NILSSON, JONAS",2:24:22,2:24:15,"3,25",M-SENIOR
225,721,"SANCHEZ GUEVARA, AURELIO",2:24:22,2:24:19,"3,25",M-M35
226,868,"DREUX, JULIEN",2:24:24,2:24:19,"3,25",M-M35
227,504,"MORETA CRIOLLO, SIXTO ROMAN",2:24:24,2:24:20,"3,25",M-SENIOR
228,619,"RAPHAEL, LEROY",2:24:27,2:24:18,"3,25",M-SENIOR
229,47,"HERZOG, PETER",2:24:32,2:24:28,"3,25",M-M35
230,1312,"FRANKEN, MELVIN",2:24:34,2:24:30,"3,25",M-SENIOR
231,849,"ESPERANZA MATEOS, FERNANDO",2:24:34,2:24:29,"3,25",M-M35
232,791,"ROMAIN PHILIPPE, MERLAUD",2:24:35,2:24:31,"3,25",M-SENIOR
233,492,"HELLSTRÖM, ISAK",2:24:36,2:24:32,"3,25",M-SENIOR
234,815,"SOLLA, CLAUDIO",2:24:37,2:24:31,"3,25",M-M40
235,802,"YOUNG, MICHAEL",2:24:37,2:24:33,"3,26",M-M35
236,808,"WILSON, AARON",2:24:41,2:24:35,"3,26",M-SENIOR
237,521,"MACRI, JULIEN",2:24:41,2:24:35,"3,26",M-SENIOR
238,654,"HILLER, CHRISTIAN",2:24:48,2:24:39,"3,26",M-M35
239,152,"CORNTHWAITE, TOM",2:24:53,2:24:53,"3,26",M-M35
240,767,"SUTHON, GEORGE",2:24:54,2:24:48,"3,26",M-SENIOR
241,1140,"EDLMAN, MARTIN",2:24:55,2:24:46,"3,26",M-SENIOR
242,471,"SMITH, ALISTAIR",2:24:57,2:24:47,"3,26",M-M35
243,638,"BRUNDISH, ROBERT",2:24:58,2:24:51,"3,26",M-M40
244,640,"HUFFMAN, WILLIAM",2:25:02,2:24:57,"3,26",M-SENIOR
245,1323,"GUARDIA COLOMER, MARC",2:25:02,2:24:59,"3,26",M-SENIOR
246,600,"HAMON, GUILLAUME",2:25:03,2:24:53,"3,26",M-SENIOR
247,589,"LEMERCIER, ROBIN",2:25:03,2:24:53,"3,26",M-SENIOR
248,784,"STEGER, MANFRED",2:25:03,2:24:58,"3,26",M-M35
249,852,"SUAREZ LASO, ALBERTO",2:25:04,2:24:55,"3,26",M-M45
250,478,"ROMAIN, FERCOQ",2:25:06,2:24:56,"3,26",M-SENIOR
