RACE NUMBER,DISTANCE,TIEMPO,PARTIAL,PACE
232,5K,0:17:04,0:17:04,"0,00"
232,10K,0:34:07,0:17:02,"3,24"
232,15K,0:51:21,0:17:14,"3,27"
232,20K,1:08:30,0:17:09,"3,26"
232,Half,1:12:21,0:03:51,"3,31"
232,25K,1:26:03,0:17:33,"3,31"
232,30K,1:43:49,0:17:47,"3,33"
232,35K,2:02:08,0:18:19,"3,40"
232,40K,2:19:52,0:17:44,"3,33"
232,META,2:27:27,0:07:34,"3,27"
256,5K,0:16:59,0:16:59,"0,00"
256,10K,0:33:58,0:16:58,"3,24"
256,15K,0:50:59,0:17:02,"3,24"
256,20K,1:07:57,0:16:57,"3,23"
256,Half,1:11:42,0:03:46,"3,26"
256,25K,1:25:04,0:17:08,"3,26"
256,30K,1:42:28,0:17:23,"3,29"
256,35K,2:00:54,0:18:27,"3,41"
256,40K,2:19:37,0:18:42,"3,44"
256,META,2:27:55,0:08:18,"3,47"
249,5K,0:17:17,0:17:17,"0,00"
249,10K,0:34:33,0:17:17,"3,27"
249,15K,0:51:54,0:17:20,"3,28"
249,20K,1:09:10,0:17:16,"3,27"
249,Half,1:12:58,0:03:49,"3,29"
249,25K,1:26:35,0:17:26,"3,29"
249,30K,1:44:10,0:17:34,"3,31"
249,35K,2:02:04,0:17:54,"3,35"
249,40K,2:20:05,0:18:02,"3,36"
249,META,2:28:07,0:08:00,"3,39"
218,5K,0:17:15,0:17:15,"0,00"
218,10K,0:34:26,0:17:11,"3,26"
218,15K,0:51:37,0:17:12,"3,26"
218,20K,1:08:50,0:17:13,"3,27"
218,Half,1:12:42,0:03:51,"3,31"
218,25K,1:26:13,0:17:23,"3,29"
218,30K,1:43:37,0:17:24,"3,29"
218,35K,2:01:42,0:18:04,"3,37"
218,40K,2:20:02,0:18:20,"3,40"
218,META,2:28:15,0:08:13,"3,45"
245,5K,0:17:38,0:17:38,"0,00"
245,10K,0:35:16,0:17:38,"3,32"
245,15K,0:52:48,0:17:32,"3,30"
245,20K,1:10:15,0:17:28,"3,30"
245,Half,1:14:06,0:03:51,"3,31"
245,25K,1:28:00,0:17:44,"3,33"
245,30K,1:45:42,0:17:43,"3,33"
245,35K,2:03:23,0:17:41,"3,32"
245,40K,2:20:51,0:17:27,"3,29"
245,META,2:28:32,0:07:41,"3,30"
214,5K,0:17:06,0:17:06,"0,00"
214,10K,0:34:05,0:17:00,"3,24"
214,15K,0:51:19,0:17:13,"3,27"
214,20K,1:08:37,0:17:19,"3,28"
214,Half,1:12:26,0:03:49,"3,29"
214,25K,1:26:25,0:17:48,"3,34"
214,30K,1:44:30,0:18:04,"3,37"
214,35K,2:02:55,0:18:26,"3,41"
214,40K,2:21:03,0:18:08,"3,38"
214,META,2:28:52,0:07:48,"3,33"
291,5K,0:17:41,0:17:41,"0,00"
291,10K,0:35:09,0:17:28,"3,30"
291,15K,0:52:36,0:17:27,"3,29"
291,20K,1:10:02,0:17:27,"3,29"
291,Half,1:13:54,0:03:51,"3,31"
291,25K,1:27:34,0:17:31,"3,30"
291,30K,1:44:54,0:17:21,"3,28"
291,35K,2:02:41,0:17:46,"3,33"
291,40K,2:20:53,0:18:12,"3,38"
291,META,2:29:28,0:08:35,"3,55"
241,5K,0:17:20,0:17:20,"0,00"
241,10K,0:34:37,0:17:17,"3,27"
241,15K,0:51:56,0:17:19,"3,28"
241,20K,1:09:27,0:17:32,"3,30"
241,Half,1:13:20,0:03:53,"3,32"
241,25K,1:27:16,0:17:48,"3,34"
241,30K,1:45:28,0:18:13,"3,39"
241,35K,2:04:07,0:18:39,"3,44"
241,40K,2:22:46,0:18:38,"3,44"
241,META,2:31:03,0:08:17,"3,46"
321,5K,0:18:11,0:18:11,"0,00"
321,10K,0:36:13,0:18:01,"3,36"
321,15K,0:54:19,0:18:06,"3,37"
321,20K,1:12:22,0:18:03,"3,37"
321,Half,1:16:23,0:04:01,"3,40"
321,25K,1:30:27,0:18:06,"3,37"
321,30K,1:48:26,0:17:58,"3,36"
321,35K,2:06:34,0:18:09,"3,38"
321,40K,2:24:07,0:17:32,"3,30"
321,META,2:31:30,0:07:23,"3,22"
285,5K,0:17:29,0:17:29,"0,00"
285,10K,0:35:12,0:17:44,"3,33"
285,15K,0:52:57,0:17:45,"3,33"
285,20K,1:10:43,0:17:46,"3,33"
285,Half,1:14:40,0:03:56,"3,35"
285,25K,1:28:53,0:18:09,"3,38"
285,30K,1:47:08,0:18:16,"3,39"
285,35K,2:05:39,0:18:30,"3,42"
285,40K,2:23:47,0:18:08,"3,38"
285,META,2:31:44,0:07:56,"3,37"
342,5K,0:17:39,0:17:39,"0,00"
342,10K,0:35:25,0:17:46,"3,33"
342,15K,0:53:15,0:17:50,"3,34"
342,20K,1:11:08,0:17:53,"3,35"
342,Half,1:15:06,0:03:57,"3,36"
342,25K,1:29:15,0:18:06,"3,37"
342,30K,1:47:27,0:18:12,"3,38"
342,35K,2:05:53,0:18:26,"3,41"
342,40K,2:24:15,0:18:23,"3,41"
342,META,2:31:53,0:07:36,"3,28"
272,5K,0:17:36,0:17:36,"0,00"
272,10K,0:35:17,0:17:40,"3,32"
272,15K,0:52:57,0:17:41,"3,32"
272,20K,1:10:39,0:17:41,"3,32"
272,Half,1:14:33,0:03:55,"3,34"
272,25K,1:28:41,0:18:03,"3,37"
272,30K,1:46:49,0:18:07,"3,37"
272,35K,2:05:16,0:18:28,"3,42"
272,40K,2:23:48,0:18:32,"3,42"
272,META,2:32:05,0:08:16,"3,46"
319,5K,0:17:57,0:17:57,"0,00"
319,10K,0:35:47,0:17:50,"3,34"
319,15K,0:53:44,0:17:56,"3,35"
319,20K,1:11:38,0:17:55,"3,35"
319,Half,1:15:34,0:03:55,"3,34"
319,25K,1:29:42,0:18:03,"3,37"
319,30K,1:47:55,0:18:14,"3,39"
319,35K,2:06:30,0:18:34,"3,43"
319,40K,2:24:55,0:18:26,"3,41"
319,META,2:32:49,0:07:52,"3,35"
297,5K,0:18:14,0:18:14,"0,00"
297,10K,0:36:21,0:18:06,"3,37"
297,15K,0:54:28,0:18:08,"3,38"
297,20K,1:12:28,0:18:00,"3,36"
297,Half,1:16:27,0:03:58,"3,37"
297,25K,1:30:35,0:18:06,"3,37"
297,30K,1:48:40,0:18:05,"3,37"
297,35K,2:06:57,0:18:18,"3,40"
297,40K,2:25:16,0:18:19,"3,40"
297,META,2:33:22,0:08:05,"3,41"
318,5K,0:17:45,0:17:45,"0,00"
318,10K,0:35:35,0:17:49,"3,34"
318,15K,0:53:36,0:18:01,"3,36"
318,20K,1:11:34,0:17:58,"3,36"
318,Half,1:15:31,0:03:58,"3,37"
318,25K,1:29:42,0:18:08,"3,38"
318,30K,1:48:06,0:18:25,"3,41"
318,35K,2:06:48,0:18:41,"3,44"
318,40K,2:25:24,0:18:37,"3,43"
318,META,2:33:39,0:08:14,"3,45"
322,5K,0:18:09,0:18:09,"0,00"
322,10K,0:36:15,0:18:06,"3,37"
322,15K,0:54:34,0:18:19,"3,40"
322,20K,1:12:52,0:18:17,"3,39"
322,Half,1:16:54,0:04:02,"3,41"
322,25K,1:31:18,0:18:26,"3,41"
322,30K,1:49:36,0:18:18,"3,40"
322,35K,2:07:57,0:18:22,"3,40"
322,40K,2:26:00,0:18:03,"3,37"
322,META,2:33:45,0:07:44,"3,31"
397,5K,0:17:26,0:17:26,"0,00"
397,10K,0:34:54,0:17:28,"3,30"
397,15K,0:52:27,0:17:33,"3,31"
397,20K,1:10:01,0:17:35,"3,31"
397,Half,1:13:52,0:03:51,"3,31"
397,25K,1:28:10,0:18:09,"3,38"
397,30K,1:46:51,0:18:41,"3,44"
397,35K,2:06:25,0:19:34,"3,55"
397,40K,2:25:37,0:19:11,"3,50"
397,META,2:34:01,0:08:23,"3,49"
1678,5K,0:18:14,0:18:14,"0,00"
1678,10K,0:36:29,0:18:15,"3,39"
1678,15K,0:54:54,0:18:25,"3,41"
1678,20K,1:13:18,0:18:25,"3,41"
1678,Half,1:17:20,0:04:02,"3,41"
1678,25K,1:31:44,0:18:26,"3,41"
1678,30K,1:50:09,0:18:25,"3,41"
1678,35K,2:08:50,0:18:40,"3,44"
1678,40K,2:27:21,0:18:32,"3,42"
1678,META,2:35:03,0:07:41,"3,30"
3683,5K,0:18:08,0:18:08,"0,00"
3683,10K,0:36:31,0:18:24,"3,41"
3683,15K,0:54:56,0:18:24,"3,41"
3683,20K,1:13:21,0:18:25,"3,41"
3683,Half,1:17:23,0:04:02,"3,41"
3683,25K,1:31:50,0:18:29,"3,42"
3683,30K,1:50:22,0:18:32,"3,42"
3683,35K,2:09:02,0:18:41,"3,44"
3683,40K,2:27:23,0:18:21,"3,40"
3683,META,2:35:29,0:08:05,"3,41"
967,5K,0:18:44,0:18:44,"0,00"
967,10K,0:37:20,0:18:36,"3,43"
967,15K,0:55:54,0:18:34,"3,43"
967,20K,1:14:19,0:18:25,"3,41"
967,Half,1:18:23,0:04:05,"3,43"
967,25K,1:32:54,0:18:36,"3,43"
967,30K,"","",""
967,35K,"","",""
967,40K,2:27:53,"",""
967,META,2:35:25,0:07:32,"3,26"
288,5K,0:18:08,0:18:08,"0,00"
288,10K,0:36:17,0:18:09,"3,38"
288,15K,0:54:31,0:18:15,"3,39"
288,20K,1:12:51,0:18:19,"3,40"
288,Half,1:16:54,0:04:04,"3,42"
288,25K,1:31:08,0:18:17,"3,39"
288,30K,1:49:26,0:18:19,"3,40"
288,35K,2:08:02,0:18:35,"3,43"
288,40K,2:27:04,0:19:03,"3,49"
288,META,2:35:42,0:08:37,"3,56"
275,5K,0:18:00,0:18:00,"0,00"
275,10K,0:35:46,0:17:46,"3,33"
275,15K,0:53:46,0:18:00,"3,36"
275,20K,1:11:42,0:17:56,"3,35"
275,Half,1:15:43,0:04:01,"3,40"
275,25K,1:30:16,0:18:34,"3,43"
275,30K,1:49:13,0:18:57,"3,47"
275,35K,2:08:36,0:19:23,"3,53"
275,40K,2:27:44,0:19:09,"3,50"
275,META,2:35:52,0:08:07,"3,42"
292,5K,0:18:28,0:18:28,"0,00"
292,10K,0:36:54,0:18:25,"3,41"
292,15K,0:55:19,0:18:26,"3,41"
292,20K,1:13:41,0:18:22,"3,40"
292,Half,1:17:46,0:04:04,"3,42"
